Sr. No,Item,AY (2022-2023),
,,Unique,Duplicate
1,Total no. of final year students (N),165,
2,No. of students placed in companies or Government sector (X),104,115
3,No. of students appeared for competitive exams,0,
4,No. of students cleared competitive exams,0,
5,"No. of students admitted to higher studies with valid qualifying scores (GATE or equivalent National level Tests,GRE,GMAT etc) (Y)",NA,NA
6,No. Of students turned entrepreneur in engineering/technology (Z),NA,NA
7,X+Y+Z=,,
8,MinimumPackage ,3.25,
9,MaximumPackage ,18,
10,AveragePackage ,5.86,
