SrNo,NameofCompany,Package,Count
1,FINIQ,9,7
2,TIAA,8,5
3,Persistent,4.71,29
4,NCDEX(Nemi-National Stock Exchange of India),4.5,6
5,Pratiti,4.75,1
6,Mindstix Software,4.6,1
7,eQ Technologies,12,1
8,Birlasoft,3.5,4
9,KPIT,3.5,1
10,Digitech,0,0
11,Uptycs,0,0
12,Infogen,4,1
13,Teito Evry,4.5,3
14,Capgemini,4,16
15,Bosch,5,9
16,G S Labs,1,1
17,InfitiQ,3.5,2
18,Josh Software,7.5,2
19,NVIDIA,15.6,5
20,Winjit,5,3
21,Hexaware,3.5,1
22,TCS,3.5,14
23,Wipro,3.5,27
24,Accolite digital,5,1
25,Coditas Solutions ,6,2
26,Insnapsys,3.25,1
27,Mindtree,4,1
28,Perennial,3.5,4
29,Altimetrik,5.5,3
30,Zensar,3.5,3
31,Cybage,4.5,2
32,Emerson,5,1
33,Vegayan,3.5,3
34,Infovision Labs,5.5,1
35,Ugam Solutions,5,1
36,Infosys,3.5,8
37,Amdocs,5.2,1
38,Merce,4.8,2
39,Adani Group,6,1
